"DATE","transaction"
2019 Jul,256.17
2019 Aug,187.84
2019 Sep,205.3
2019 Oct,148.04
2019 Nov,96.79
2019 Dec,197.7
2020 Jan,114.19
2020 Feb,78.94
2020 Mar,230.88
2020 Apr,82.92
2020 May,175.64
2020 Jun,189.43
2020 Jul,98.64
2020 Aug,163.04
2020 Sep,179.46
2020 Oct,225.09
2020 Nov,230.64
2020 Dec,192.17
2021 Jan,216.13
2021 Feb,253.4
2021 Mar,162.81
2021 Apr,260.19
2021 May,276.85
2021 Jun,245.31
2021 Jul,238.57
2021 Aug,262.34
2021 Sep,380.41
2021 Oct,238.01
2021 Nov,241.78
2021 Dec,351.81
2022 Jan,214.81
2022 Feb,434.31
2022 Mar,351.41
2022 Apr,255.12
2022 May,341.12
2022 Jun,270.82
2022 Jul,369.37
2022 Aug,268.04
2022 Sep,303.77
2022 Oct,407.59
2022 Nov,348.17
2022 Dec,314.96
