"ZIP_CODE","Transaction_zip"
43212,5793.45
44720,2031.75
44483,1964.09
44095,1538.31
15301,1396.34
15074,1300.28
44223,1182.29
15220,1139.56
43026,1087.26
44017,1072.52
15122,915.82
44646,850.82
44641,833.71
44203,804.8
16105,736.28
15642,732.3
44126,729.81
15236,694.81
44612,635.51
44130,623.03
44116,617.65
16046,577.97
15656,576.47
15370,544.73
15632,522.5
43230,491.6
44111,491.45
15601,485.29
43221,483.75
44054,466.9
44144,406.77
15205,403.92
44124,395.44
16673,382.5
44333,370.98
15237,332.67
15905,312.75
44281,310.72
15102,305.39
44057,304.32
16509,294.82
44039,279.9
15090,271.39
43213,258.65
44094,253.51
43130,250.24
43219,244.93
15227,240.9
44077,223.63
16335,217.76
15131,212.34
44515,205.61
43920,203.08
15089,195.12
15232,194.8
16510,187.67
15017,186.15
43125,181.61
44212,178.82
15238,177.39
46032,163.52
44121,158.36
44147,158.07
44312,156.81
44484,153.4
15218,145.4
15701,144.36
16057,142.6
15001,137.51
44026,128.22
44134,123.96
16066,117.66
21702,117.13
43220,116.32
15401,114.48
44145,110.23
43123,110.21
43056,110.04
44004,105.42
44023,99.43
44024,99.07
15136,96.95
15146,96.89
44406,94.95
15650,88.5
44087,88.02
44133,86.89
16417,86.86
16001,85.17
15906,81.19
15147,76.49
44122,76.3
44221,71.89
16323,70.62
44446,69.54
44060,68.49
15229,66.43
44129,64.44
15116,63.31
15206,62.6
43065,61.41
15658,60.84
15068,59.87
44224,58.69
44512,56.38
15056,54.99
44089,54.16
15044,53.58
44256,52.85
15332,52.08
26501,51.76
44107,49.86
15212,49.71
15120,47.9
43054,47.47
43206,46.78
45750,46.01
26505,44.79
15235,44.54
16101,44.04
44601,42.76
44067,41.47
16505,39.53
15644,39.45
44614,37.25
15317,36.98
16354,36.88
44272,34.35
15904,32.68
44070,29.33
44514,28.88
16602,27.74
15217,27.72
44319,26.14
15203,26
44685,25.66
16301,25.53
16148,24.43
15825,23.82
15012,23.48
15314,22.99
44035,22.65
44505,22.57
44136,21.47
16055,21.4
15137,19.88
15132,18.6
43035,18.28
44139,17.85
15108,17.05
44125,16.93
15501,15.49
15801,13.5
15057,13.49
44278,13.17
44241,12.52
15714,12.38
44632,11.99
43209,11.96
44137,10.67
43202,9.49
15357,8.99
44709,8.44
15063,8.29
43228,8.06
15037,5.97
44142,5.76
44062,5.09
44266,2.75
44710,1.7
43017,1.58
43147,0.5
